,name,id,artist,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
77,Kismet,3owRFZTvTuWgNlUkbI6YgS,WHOKILLEDXIX,glitchcore,0.00647,0.659,0.743,0.0,0.0741,-5.59,0.326,160.025,0.849
78,#PROUDCATOWNERREMIX,5dkZ2DrcPJrqwlRQe6Q35e,XXXTENTACION,emo rap,0.0287,0.783,0.522,4.13e-05,0.127,-6.229,0.39,145.127,0.235
79,Death Note,310YHyec9UxRfn30XRje5J,Lil Gnar,atl hip hop,0.141,0.762,0.709,0.0,0.0798,-5.333,0.337,174.041,0.537
80,Malcolm X (feat. Pooh Shiesty),5t0aY8ILf1CL20iaUxJ3gf,Hotboii,florida rap,0.0354,0.745,0.738,0.0,0.0865,-4.578,0.298,150.179,0.412
81,XO,4u2JQ1rzBirJVn6Ka2aQ5l,Fall Out Boy,emo,0.000633,0.482,0.963,0.0,0.0959,-3.161,0.0743,131.333,0.423
82,Dream Glow (BTS World Original Soundtrack) - Pt. 1,4c1WgUnHXq2LEncGHKgj1I,BTS,k-pop,0.0967,0.735,0.74,0.0,0.101,-3.837,0.0519,141.948,0.541
83,永遠に光れ (Everlasting Shine),3zLCX1TGMpsA67cW2pq6ut,TOMORROW X TOGETHER,k-pop,0.119,0.527,0.891,0.0,0.208,-1.511,0.0724,127.097,0.39
84,Dream A Little Dream Of Me - Single Version,78MI7mu1LV1k4IA2HzKmHe,Ella Fitzgerald,adult standards,0.913,0.443,0.104,0.0,0.191,-17.042,0.101,76.497,0.394
85,Xmen,1ue0vGOJCfPThzNJyy7WB9,Baby Keem,hip hop,0.0207,0.749,0.504,0.00691,0.112,-8.361,0.071,169.987,0.228
86,STARING AT THE SKY,4KpKyRFwN0gcwj58Uqjv7q,XXXTENTACION,emo rap,0.134,0.557,0.338,0.00184,0.14,-9.892,0.0257,140.935,0.689
87,Life Must Go On,3vmsnZF4KPLjbDgZEqwTdL,Quinn XCII,electropop,0.126,0.715,0.551,0.0,0.314,-6.486,0.096,90.923,0.528
88,MIA,3gE4eQH3K83Sght0ZLvuBK,Bad Bunny,latin,0.0142,0.816,0.538,0.000496,0.099,-6.354,0.0617,97.054,0.156
